wl,sci,sce
360,46.15000000,41.18000000
370,47.78000000,42.83000000
380,48.83000000,43.90000000
390,49.13000000,44.22000000
400,49.40000000,44.51000000
410,49.75000000,44.88000000
420,49.87000000,45.03000000
430,50.09000000,45.28000000
440,50.10000000,45.30000000
450,50.12000000,45.34000000
460,50.14000000,45.37000000
470,50.20000000,45.44000000
480,50.09000000,45.34000000
490,50.03000000,45.29000000
500,50.03000000,45.32000000
510,50.06000000,45.36000000
520,50.00000000,45.31000000
530,49.74000000,45.05000000
540,49.49000000,44.83000000
550,49.39000000,44.72000000
560,49.39000000,44.73000000
570,49.16000000,44.51000000
580,49.09000000,44.42000000
590,49.12000000,44.44000000
600,48.80000000,44.14000000
610,48.72000000,44.04000000
620,48.89000000,44.19000000
630,48.72000000,44.01000000
640,48.56000000,43.89000000
650,48.60000000,43.93000000
660,48.54000000,43.81000000
670,48.22000000,43.51000000
680,48.03000000,43.37000000
690,48.18000000,43.51000000
700,47.97000000,43.28000000
710,47.43000000,42.74000000
720,47.29000000,42.57000000
730,47.49000000,42.71000000
740,47.24000000,42.43000000
