wl,sci,sce
360,12.86000000,12.81000000
370,13.67000000,13.63000000
380,14.69000000,14.66000000
390,15.76000000,15.73000000
400,16.87000000,16.85000000
410,17.99000000,17.97000000
420,19.12000000,19.12000000
430,20.27000000,20.27000000
440,21.28000000,21.29000000
450,22.15000000,22.16000000
460,22.81000000,22.81000000
470,23.36000000,23.37000000
480,23.87000000,23.88000000
490,24.59000000,24.60000000
500,25.36000000,25.37000000
510,26.20000000,26.21000000
520,27.14000000,27.16000000
530,28.03000000,28.05000000
540,28.85000000,28.88000000
550,29.66000000,29.69000000
560,30.42000000,30.45000000
570,31.06000000,31.10000000
580,31.61000000,31.65000000
590,31.99000000,32.03000000
600,32.32000000,32.38000000
610,32.55000000,32.61000000
620,32.68000000,32.74000000
630,32.91000000,32.97000000
640,33.04000000,33.11000000
650,33.18000000,33.24000000
660,33.19000000,33.26000000
670,33.09000000,33.18000000
680,33.13000000,33.22000000
690,33.71000000,33.80000000
700,34.61000000,34.71000000
710,35.22000000,35.34000000
720,35.53000000,35.65000000
730,35.72000000,35.84000000
740,35.85000000,36.00000000
