wl,sci,sce
360,9.04000000,8.95000000
370,9.61000000,9.53000000
380,10.30000000,10.22000000
390,10.95000000,10.88000000
400,11.57000000,11.50000000
410,12.20000000,12.13000000
420,12.88000000,12.81000000
430,13.51000000,13.44000000
440,14.10000000,14.03000000
450,14.57000000,14.51000000
460,14.93000000,14.86000000
470,15.15000000,15.08000000
480,15.57000000,15.50000000
490,15.97000000,15.89000000
500,16.58000000,16.51000000
510,17.34000000,17.26000000
520,18.21000000,18.14000000
530,18.94000000,18.86000000
540,19.59000000,19.51000000
550,20.29000000,20.21000000
560,20.97000000,20.88000000
570,21.54000000,21.46000000
580,22.02000000,21.94000000
590,22.39000000,22.31000000
600,22.69000000,22.61000000
610,22.94000000,22.86000000
620,23.12000000,23.04000000
630,23.26000000,23.18000000
640,23.36000000,23.29000000
650,23.41000000,23.34000000
660,23.48000000,23.42000000
670,23.50000000,23.44000000
680,23.66000000,23.60000000
690,24.20000000,24.15000000
700,25.05000000,25.00000000
710,25.55000000,25.50000000
720,25.84000000,25.80000000
730,26.06000000,26.03000000
740,26.24000000,26.21000000
